Entity,Year,Poverty_Index,gdp_growth,gdp_per_capita
Norway,2019,0.42935298027253055,0.745798219,75719.7529
Norway,2020,0.3817880178657881,-0.717182669,67329.67779
Poland,2010,0.07176597149560834,3.740521281,12613.011
Poland,2011,0.07895637663105669,4.757635638,13879.56099
Poland,2012,0.07447966175263002,1.324896305,13097.27085
Poland,2013,0.07787277050400261,1.125763386,13696.4663
Poland,2014,0.08115891790884835,3.378581715,14271.30585
Poland,2015,0.0715766537503005,4.23632685,12578.49547
Poland,2016,0.07082009483567028,3.141725778,12447.43959
Poland,2017,0.07887298133768002,4.830656005,13864.68176
Poland,2018,0.08796832055236517,5.353703355,15468.48222
Poland,2019,0.08945511080025395,4.744950156,15732.20313
Poland,2020,0.08929929297950658,-2.540658682,15720.99466
Portugal,2010,0.12776259497087358,1.737625476,22498.69086
Portugal,2011,0.13161923827902458,-1.696164781,23186.91313
Portugal,2012,0.11673035965647925,-4.057293608,20564.88986
Portugal,2013,0.1229026104251671,-0.922644675,21647.04181
Portugal,2014,0.12534560523141355,0.792190302,22074.30076
Portugal,2015,0.10930974353482223,1.792046046,19242.36647
Portugal,2016,0.11348372260442607,2.019485396,19978.40121
Portugal,2017,0.12177038574172576,3.506345285,21437.3475
Portugal,2018,0.13374037240903186,2.849325934,23551.04829
Portugal,2019,0.1324902164918644,2.682759921,23330.81729
Portugal,2020,0.1258066232569919,-8.442456428,22176.29671
Romania,2010,0.046740467148609445,-3.90123628,8214.076893
Romania,2011,0.05183011706013988,1.906067707,9099.217539
Romania,2012,0.04847632819843425,2.040665131,8507.104775
Romania,2013,0.05439614848691153,3.770962304,9547.852151
Romania,2014,0.05720392756648276,3.608723653,10043.67745
Romania,2015,0.05110629204443353,2.953674037,8969.148921
Romania,2016,0.05441212287726038,4.702997747,9548.587403
Romania,2017,0.061576727097280896,7.319448529,10807.00917
Romania,2018,0.07056237118646932,4.474523775,12398.98198
Romania,2019,0.07339430051284743,4.188260341,12899.34611
Romania,2020,0.07327298636503426,-3.930454057,12896.08862
Serbia,2010,0.032752657590065515,0.731044553,5735.422857
Serbia,2011,0.038854044231815946,2.036276689,6809.159804
Serbia,2012,0.03432447789006091,-0.681542369,6015.945228
Serbia,2013,0.03855838797534197,2.892636734,6755.073675
Serbia,2014,0.03762312652766561,-1.58951032,6600.056809
Serbia,2015,0.03193639136619259,1.806059265,5588.980728
Serbia,2016,0.03295444283831391,3.338586765,5765.200762
Serbia,2017,0.035927210251435915,2.101163847,6292.543629
Serbia,2018,0.04139704072123891,4.495121293,7252.401858
Serbia,2019,0.04232890006656411,4.331734906,7417.203649
Serbia,2020,0.04398089124538743,-0.944596516,7720.510572
Slovenia,2010,0.1334860895625652,1.343748472,23509.54314
Slovenia,2011,0.14246548753137545,0.861327733,25095.13229
Slovenia,2012,0.12852550883820457,-2.639438757,22643.10025
Slovenia,2013,0.13338269180136467,-1.029282772,23496.6025
Slovenia,2014,0.13750150675448397,2.768158831,24214.92207
Slovenia,2015,0.1186054970403889,2.210081607,20881.76693
Slovenia,2016,0.12304881699608365,3.191852518,21663.64341
Slovenia,2017,0.13322632944323975,4.815380632,23455.94473
Slovenia,2018,0.14822842392678276,4.422521568,26104.10279
Slovenia,2019,0.14730035288737878,3.250531336,25942.95477
Slovenia,2020,0.1447935879155142,-4.229261389,25517.33067
Spain,2010,0.17310135652320802,0.163010231,30502.71971
Spain,2011,0.17951378571768342,-0.814373455,31636.44631
Spain,2012,0.1607174604970708,-2.959441302,28324.42934
Spain,2013,0.16490267427671979,-1.435394259,29059.54795
Spain,2014,0.16721653270863254,1.383907943,29461.55033
Spain,2015,0.14611238613212513,3.83517266,25732.01836
Spain,2016,0.15048462232353116,3.03130133,26505.34322
Spain,2017,0.15952410981491633,2.973641191,28100.58624
Spain,2018,0.1722614223275931,2.288785676,30349.7521
Spain,2019,0.16775678402514987,2.085191421,29555.3157
Spain,2020,0.15347043846301303,-10.82288649,27063.19392
Sweden,2010,0.2999243189742429,5.952107008,52869.04429
Sweden,2011,0.344583289716791,3.195333235,60755.75955
Sweden,2012,0.3291328410548831,-0.588304569,58037.82132
Sweden,2013,0.3466613485717909,1.187775716,61126.9432
Sweden,2014,0.34040898434085964,2.657798275,60020.36046
Sweden,2015,0.29240518852002756,4.489281588,51545.48361
Sweden,2016,0.29475283032866606,2.070593151,51965.15715
Sweden,2017,0.30510903757197405,2.567924525,53791.50873
Sweden,2018,0.3096209226750372,1.950022846,54589.06039
Sweden,2019,0.29460596427841657,1.986195874,51939.42974
Sweden,2020,0.2964417737313414,-2.948127879,52274.40879
Switzerland,2010,0.4373038269139921,3.268101656,77117.12601
Switzerland,2011,0.517400401038437,1.920445985,91254.03476
Switzerland,2012,0.49072059911326493,1.217193657,86547.67089
Switzerland,2013,0.49957904381316315,1.821667791,88109.48675
Switzerland,2014,0.5085137165586903,2.446845157,89684.70758
Switzerland,2015,0.4806869542916912,1.657768711,84776.14217
Switzerland,2016,0.47104176878300713,2.045186469,83073.28008
Switzerland,2017,0.4726159404412609,1.584819616,83352.08865
Switzerland,2018,0.4898395746768019,2.916905098,86388.40495
Switzerland,2019,0.48384560981425234,1.210992207,85334.51946
Switzerland,2020,0.49378811094654956,-2.392826042,87097.03645
Turkey,2010,0.061226745537408464,8.427104323,10742.77498
Turkey,2011,0.06510284776287181,11.20011058,11420.55546
Turkey,2012,0.06714718187979704,4.788492711,11795.63346
Turkey,2013,0.07183612250314864,8.485816997,12614.78161
Turkey,2014,0.06920256912719983,4.939715161,12157.99043
Turkey,2015,0.06269034371925179,6.084486904,11006.27952
Turkey,2016,0.062022493195996016,3.323084208,10894.60338
Turkey,2017,0.060347369068056995,7.501997489,10589.66772
Turkey,2018,0.05385624243199455,2.979885235,9454.348443
Turkey,2019,0.05194359981140394,0.889585161,9121.515167
Turkey,2020,0.04863940199435042,1.793551396,8536.43332
Ukraine,2010,0.017738098484477417,4.092004367,3078.429982
Ukraine,2011,0.021305013715210448,5.445280813,3704.824973
Ukraine,2012,0.022937937264592558,0.152314965,4004.804396
Ukraine,2013,0.02397327569234486,0.045439094,4187.739845
Ukraine,2014,0.017707120778736693,-10.07889498,3104.643206
Ukraine,2015,0.012157459441789328,-9.772987211,2124.662319
Ukraine,2016,0.012669601702146796,2.440981945,2187.73051
Ukraine,2017,0.015222093522643044,2.359972281,2638.326055
Ukraine,2018,0.017833203245325814,3.488362342,3096.561697
Ukraine,2019,0.02103079236238796,3.199503862,3661.456204
Ukraine,2020,0.021299336387032294,-4.000006101,3724.938437
United Kingdom,2010,0.22518262302202618,2.131438198,39688.61497
United Kingdom,2011,0.23988710581769634,1.457563391,42284.88449
United Kingdom,2012,0.24216491132525686,1.469887521,42686.80005
United Kingdom,2013,0.24799030700097613,1.890018342,43713.81412
United Kingdom,2014,0.2710883071372032,2.991164814,47787.2413
United Kingdom,2015,0.25758106311985185,2.622596679,45404.56777
United Kingdom,2016,0.23544686923982258,2.263463538,41499.5557
United Kingdom,2017,0.23180816330263737,2.134453093,40857.75558
United Kingdom,2018,0.2476083712034794,1.650925496,43646.95197
United Kingdom,2019,0.24434188362875225,1.671944197,43070.49836
United Kingdom,2020,0.2328034905097091,-9.396160006,41059.16881
Russia,2010,0.13550530010580086,10675.0,4.5
Russia,2011,0.1815677589120043,14311.0,4.3
Russia,2012,0.19562848990804743,15421.0,4.02
Russia,2013,0.2026341726435259,15975.0,1.76
Russia,2014,0.17882380217881733,14096.0,0.74
Russia,2015,0.11821379076994527,9313.0,-1.97
Russia,2016,0.11052342858049254,8705.0,0.19
Russia,2017,0.13606026321925035,10720.0,1.83
Russia,2018,0.14324900079704292,11287.0,2.81
Russia,2019,0.1464000638644093,11536.0,2.2
Russia,2020,0.12937111013858385,10194.0,-2.65
Republic of Moldova,2010,0.03115483278951284,2437.0,7.1
Republic of Moldova,2011,0.037532631433544635,2941.0,5.82
Republic of Moldova,2012,0.03881385655292833,3045.0,-0.59
